2026-04-20 16:01:40 | PLAY   | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 14:37:57 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 14:40:39 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 14:40:39 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:23:15 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:23:15 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:23:17 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:23:17 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:24:16 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:24:16 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:24:18 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 15:24:18 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:07:59 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:07:59 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:08:02 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:08:02 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:08:12 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:08:12 | REPLAY | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 16:08:15 | PLAY   | BOP BOP! | VIVIZ | The 1st Mini Album 'Beam Of Prism' | 219.932998657227s
2026-04-21 16:08:15 | PLAY   | BOP BOP! | VIVIZ | The 1st Mini Album 'Beam Of Prism' | 219.932998657227s
2026-04-21 16:08:34 | PLAY   | 그대라는 시 | TAEYEON | Hotel del Luna (Original Television Soundtrack) Pt. 3 - Single | 209.481994628906s
2026-04-21 16:08:34 | PLAY   | 그대라는 시 | TAEYEON | Hotel del Luna (Original Television Soundtrack) Pt. 3 - Single | 209.481994628906s
2026-04-21 16:08:38 | PLAY   | R.E.M | KISS OF LIFE | R.E.M - Single | 172.772994995117s
2026-04-21 16:08:38 | PLAY   | R.E.M | KISS OF LIFE | R.E.M - Single | 172.772994995117s
2026-04-21 16:08:48 | PLAY   | Drive | MIYEON | MY - EP | 201.613006591797s
2026-04-21 16:08:48 | PLAY   | Drive | MIYEON | MY - EP | 201.613006591797s
2026-04-21 16:08:50 | PLAY   | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:08:50 | PLAY   | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:10:55 | PAUSE  | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:10:55 | PAUSE  | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:11:03 | RESUME | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:11:03 | RESUME | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 16:12:04 | PLAY   | Feel Special | TWICE | Feel Special | 206.867004394531s
2026-04-21 16:12:04 | PLAY   | Feel Special | TWICE | Feel Special | 206.867004394531s
2026-04-21 16:12:24 | PLAY   | BLACKHOLE | IVE | REVIVE+ | 194.171005249023s
2026-04-21 16:12:24 | PLAY   | BLACKHOLE | IVE | REVIVE+ | 194.171005249023s
2026-04-21 16:15:38 | PLAY   | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-21 16:15:38 | PLAY   | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-21 16:15:45 | PLAY   | Run Away | TZUYU | abouTZU - EP | 198.320007324219s
2026-04-21 16:15:45 | PLAY   | Run Away | TZUYU | abouTZU - EP | 198.320007324219s
2026-04-21 16:15:47 | PLAY   | Hooligan | BTS | ARIRANG | 182.046997070312s
2026-04-21 16:15:47 | PLAY   | Hooligan | BTS | ARIRANG | 182.046997070312s
2026-04-21 16:18:50 | PLAY   | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:18:50 | PLAY   | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:19:09 | PAUSE  | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:19:09 | PAUSE  | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:20:21 | RESUME | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:20:21 | RESUME | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 16:20:32 | PLAY   | CRUSH | IVE | CRUSH - Single | 209.49299621582s
2026-04-21 16:20:32 | PLAY   | CRUSH | IVE | CRUSH - Single | 209.49299621582s
2026-04-21 16:20:38 | PLAY   | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:20:38 | PLAY   | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:22:46 | PAUSE  | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:22:46 | PAUSE  | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:23:45 | RESUME | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:23:45 | RESUME | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:24:34 | PAUSE  | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:24:34 | PAUSE  | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:24:51 | RESUME | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:24:51 | RESUME | 0X1=LOVESONG (I Know I Love You) [feat. Seori] | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 202.203994750977s
2026-04-21 16:25:20 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:25:20 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:26:23 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:26:23 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:27:54 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:27:54 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:28:55 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:28:55 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:29:01 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:29:01 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 16:29:43 | PLAY   | Moon | BTS | MAP OF THE SOUL : 7 | 208.589996337891s
2026-04-21 16:29:43 | PLAY   | Moon | BTS | MAP OF THE SOUL : 7 | 208.589996337891s
2026-04-21 16:33:11 | PLAY   | Boy With Luv (feat. Halsey) | BTS | MAP OF THE SOUL : PERSONA | 229.772994995117s
2026-04-21 16:33:11 | PLAY   | Boy With Luv (feat. Halsey) | BTS | MAP OF THE SOUL : PERSONA | 229.772994995117s
2026-04-21 16:37:01 | PLAY   | HEYA | IVE | IVE SWITCH - EP | 189.679992675781s
2026-04-21 16:37:01 | PLAY   | HEYA | IVE | IVE SWITCH - EP | 189.679992675781s
2026-04-21 16:37:18 | REPLAY | HEYA | IVE | IVE SWITCH - EP | 189.679992675781s
2026-04-21 16:37:18 | REPLAY | HEYA | IVE | IVE SWITCH - EP | 189.679992675781s
2026-04-21 16:37:20 | PLAY   | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:37:20 | PLAY   | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:37:54 | PAUSE  | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:37:54 | PAUSE  | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:44:41 | RESUME | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:44:41 | RESUME | SWIM | BTS | ARIRANG | 159.007995605469s
2026-04-21 16:46:45 | PLAY   | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:46:45 | PLAY   | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:49:10 | PAUSE  | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:49:10 | PAUSE  | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:49:14 | RESUME | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:49:14 | RESUME | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 16:49:46 | PLAY   | UNFORGIVEN | LE SSERAFIM & Nile Rodgers | UNFORGIVEN | 182.149002075195s
2026-04-21 16:49:46 | PLAY   | UNFORGIVEN | LE SSERAFIM & Nile Rodgers | UNFORGIVEN | 182.149002075195s
2026-04-21 16:51:02 | PLAY   | BANG BANG | IVE | REVIVE+ | 178.046005249023s
2026-04-21 16:51:02 | PLAY   | BANG BANG | IVE | REVIVE+ | 178.046005249023s
2026-04-21 16:54:00 | PLAY   | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:54:00 | PLAY   | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:54:05 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:54:05 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:55:12 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:55:12 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:56:26 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 16:56:26 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:00:59 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:00:59 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:01:05 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:01:05 | PAUSE  | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:03:35 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:03:35 | RESUME | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-21 17:04:20 | PLAY   | Good Parts (when the quality is bad but I am) | LE SSERAFIM | ANTIFRAGILE - EP | 156.354995727539s
2026-04-21 17:04:20 | PLAY   | Good Parts (when the quality is bad but I am) | LE SSERAFIM | ANTIFRAGILE - EP | 156.354995727539s
2026-04-21 17:04:41 | PLAY   | R.E.M | KISS OF LIFE | Lose Yourself | 172.772994995117s
2026-04-21 17:04:41 | PLAY   | R.E.M | KISS OF LIFE | Lose Yourself | 172.772994995117s
2026-04-21 17:04:50 | PLAY   | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:04:50 | PLAY   | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:06:10 | PAUSE  | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:06:10 | PAUSE  | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:06:31 | RESUME | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:06:31 | RESUME | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:08:59 | PAUSE  | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:08:59 | PAUSE  | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:09:07 | RESUME | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:09:07 | RESUME | 00:00 (Zero O'Clock) | BTS | MAP OF THE SOUL : 7 | 250.296005249023s
2026-04-21 17:09:31 | PLAY   | Get Loud | KISS OF LIFE | Lose Yourself | 169.973007202148s
2026-04-21 17:09:31 | PLAY   | Get Loud | KISS OF LIFE | Lose Yourself | 169.973007202148s
2026-04-21 17:10:13 | PLAY   | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:10:13 | PLAY   | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:10:32 | PAUSE  | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:10:32 | PAUSE  | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:15:12 | RESUME | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:15:12 | RESUME | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:15:14 | PAUSE  | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:15:14 | PAUSE  | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:17:40 | RESUME | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:17:40 | RESUME | TEARS | JISOO | AMORTAGE - EP | 182.220993041992s
2026-04-21 17:20:22 | PLAY   | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:20:22 | PLAY   | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:22:54 | PAUSE  | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:22:54 | PAUSE  | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:23:25 | RESUME | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:23:25 | RESUME | I DO | i-dle | HEAT - EP | 190.113998413086s
2026-04-21 17:24:06 | PLAY   | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:24:06 | PLAY   | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:43 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:43 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:47 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:47 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:55 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:55 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:59 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:25:59 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:26:44 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:26:44 | PAUSE  | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:26:46 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:26:46 | RESUME | Sticky | KISS OF LIFE | Sticky - Single | 157.119995117188s
2026-04-21 17:26:50 | PLAY   | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 17:26:50 | PLAY   | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 17:26:58 | PAUSE  | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 17:26:58 | PAUSE  | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 17:27:19 | PLAY   | ABCD | NAYEON | NA | 162.839996337891s
2026-04-21 17:27:19 | PLAY   | ABCD | NAYEON | NA | 162.839996337891s
2026-04-21 17:30:05 | PLAY   | SET ME FREE | TWICE | READY TO BE | 181.679992675781s
2026-04-21 17:30:05 | PLAY   | SET ME FREE | TWICE | READY TO BE | 181.679992675781s
2026-04-21 17:33:06 | PLAY   | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 17:33:06 | PLAY   | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 17:34:30 | PAUSE  | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 17:34:30 | PAUSE  | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 17:34:58 | RESUME | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 17:34:58 | RESUME | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 18:25:50 | PAUSE  | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 18:25:50 | PAUSE  | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
